rows=77
('2020', 'APRIL', '0321200294', '47')
('2020', 'AUGUST', '0321200294', '42')
('2020', 'DECEMBER', '0321200294', '30')
('2020', 'FEBRUARY', '0321200294', '45')
('2020', 'JANUARY', '0321200294', '54')
('2020', 'JULY', '0321200294', '40')
('2020', 'JUNE', '0321200294', '43')
('2020', 'MARCH', '0321200294', '43')
('2020', 'MAY', '0321200294', '38')
('2020', 'NOVEMBER', '0321200294', '31')
('2020', 'OCTOBER', '0321200294', '42')
('2020', 'SEPTEMBER', '0321200294', '37')
('2021', 'APRIL', '0321200294', '34')
('2021', 'AUGUST', '0321200294', '30')
('2021', 'DECEMBER', '0321200294', '28')
('2021', 'FEBRUARY', '0321200294', '20')
('2021', 'JANUARY', '0321200294', '25')
('2021', 'JULY', '0321200294', '27')
('2021', 'JUNE', '0321200294', '31')
('2021', 'MARCH', '0321200294', '24')
('2021', 'MAY', '0321200294', '41')
('2021', 'NOVEMBER', '0321200294', '24')
('2021', 'OCTOBER', '0321200294', '27')
('2021', 'SEPTEMBER', '0321200294', '43')
('2022', 'APRIL', '0321200294', '44')
('2022', 'AUGUST', '0321200294', '71')
('2022', 'DECEMBER', '0321200294', '55')
('2022', 'FEBRUARY', '0321200294', '29')
('2022', 'JANUARY', '0321200294', '9')
('2022', 'JULY', '0321200294', '34')
('2022', 'JUNE', '0321200294', '40')
('2022', 'MARCH', '0321200294', '39')
('2022', 'MAY', '0321200294', '35')
('2022', 'NOVEMBER', '0321200294', '45')
('2022', 'OCTOBER', '0321200294', '82')
('2022', 'SEPTEMBER', '0321200294', '47')
('2023', 'APRIL', '0321200294', '40')
('2023', 'AUGUST', '0321200294', '38')
('2023', 'DECEMBER', '0321200294', '60')
('2023', 'FEBRUARY', '0321200294', '36')
('2023', 'JANUARY', '0321200294', '53')
('2023', 'JULY', '0321200294', '46')
('2023', 'JUNE', '0321200294', '52')
('2023', 'MARCH', '0321200294', '38')
('2023', 'MAY', '0321200294', '55')
('2023', 'NOVEMBER', '0321200294', '60')
('2023', 'OCTOBER', '0321200294', '58')
('2023', 'SEPTEMBER', '0321200294', '53')
('2024', 'APRIL', '0321200294', '50')
('2024', 'AUGUST', '0321200294', '46')
('2024', 'DECEMBER', '0321200294', '40')
('2024', 'FEBRUARY', '0321200294', '58')
('2024', 'JANUARY', '0321200294', '48')
('2024', 'JULY', '0321200294', '44')
('2024', 'MARCH', '0321200294', '48')
('2024', 'MAY', '0321200294', '79')
('2024', 'NOVEMBER', '0321200294', '51')
('2024', 'OCTOBER', '0321200294', '41')
('2024', 'SEPTEMBER', '0321200294', '43')
('2025', 'APRIL', '0321200294', '21')
('2025', 'AUGUST', '0321200294', '25')
('2025', 'DECEMBER', '0321200294', '0')
('2025', 'FEBRUARY', '0321200294', '40')
('2025', 'JANUARY', '0321200294', '39')
('2025', 'JULY', '0321200294', '0')
('2025', 'JUNE', '0321200294', '29')
('2025', 'MARCH', '0321200294', '38')
('2025', 'MAY', '0321200294', '25')
('2025', 'NOVEMBER', '0321200294', '25')
('2025', 'OCTOBER', '0321200294', '25')
('2025', 'SEPTEMBER', '0321200294', '25')
('2026', 'FEBRUARY', '0321200294', '25')
('2026', 'JANUARY', '0321200294', '25')
('2026', 'MARCH', '0321200294', '108')
('2026', 'MAY', '0321200294', '25')
(None, None, '0321200294', '25')
(None, None, '0321200294', '0')
may_count=1
april_count=0
