ratecode - classification

01- "RESIDENTIAL"
02- "RESIDENTIAL 3/4"                   
02A- "RESIDEDNTIAL 1"
03- "COMMERCIAL 1/2"
04- "COMMERCIAL 1"                 
05- "INDUSTRIAL CEDC"       
06- "COMMERCIAL 3/4"   
07- "COMMERCIAL 1 1/2"
08- "COMMERCIAL 3"
09- "GOVERNMENT 1/2"
10- "COMMERCIAL (A) 1/2"
11- "COMMERCIAL (B) 1/2"
12- "COMMERCIAL (C) 1/2"
13- "SUBDIVISION"
14- "INSTITUTIONAL(PRIVATE)"
15-"INSTITUTIONAL"
16- "INSTITUTIONAL 3/4"
17- "INSTITUTIONAL(PRIVATE B)"
18- "COMMERCIAL 2"
19- "COMMERCIAL 4"
20- "BULK SALES BALAMBAN"
15A- "INSTITUTIONAL 1"
21- "BULK SALES 1/2"
09A- "GOVERNMENT 1"
09B- "GOVERNMENT 2"
